 2017-04-17 15:13:10,057 [P16084/D2/T10] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [Umbraco.Web.Scheduling.IBackgroundTask] Tasks completed, terminated
 2017-04-17 15:13:10,060 [P16084/D2/T15] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [ScheduledTasks] Terminating
 2017-04-17 15:13:10,060 [P16084/D2/T15] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [ScheduledTasks] Waiting for tasks to complete
 2017-04-17 15:13:10,060 [P16084/D2/T15] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [KeepAlive] Terminating
 2017-04-17 15:13:10,060 [P16084/D2/T15] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [KeepAlive] Waiting for tasks to complete
 2017-04-17 15:13:10,061 [P16084/D2/T12] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [KeepAlive] Tasks completed, terminated
 2017-04-17 15:13:10,061 [P16084/D2/T14] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [ScheduledTasks] Tasks completed, terminated
 2017-04-17 15:13:10,062 [P16084/D2/T15] INFO  Umbraco.Core.MainDom - Stopping...
 2017-04-17 15:13:10,064 [P16084/D2/T15] INFO  Umbraco.Core.MainDom - Released MainDom.
 2017-04-17 15:13:11,926 [P16084/D2/T11] WARN  Umbraco.Web.Mvc.RenderRouteHandler - The current Document Type home matches a locally declared controller of type WebApplication4.Controllers.HomeController. Custom Controllers for Umbraco routing must implement 'Umbraco.Web.Mvc.IRenderController' and inherit from 'System.Web.Mvc.ControllerBase'.
 2017-04-17 15:13:30,448 [P16084/D3/T16] INFO  Umbraco.Core.CoreBootManager - Umbraco 7.5.12 application starting on DESKTOP-7KMMA7G
 2017-04-17 15:13:30,474 [P16084/D3/T16] INFO  Umbraco.Core.PluginManager - Determining hash of code files on disk
 2017-04-17 15:13:30,488 [P16084/D3/T16] INFO  Umbraco.Core.PluginManager - Hash determined (took 13ms)
 2017-04-17 15:13:30,555 [P16084/D3/T16] INFO  Umbraco.Core.MainDom - Acquiring MainDom...
 2017-04-17 15:13:30,560 [P16084/D3/T16] INFO  Umbraco.Core.MainDom - Acquired MainDom.
 2017-04-17 15:13:30,567 [P16084/D3/T16] INFO  Umbraco.Core.PluginManager - Starting resolution types of umbraco.interfaces.IApplicationStartupHandler
 2017-04-17 15:13:30,626 [P16084/D3/T16] INFO  Umbraco.Core.PluginManager - Completed resolution of types of umbraco.interfaces.IApplicationStartupHandler, found 0 (took 58ms)
 2017-04-17 15:13:30,679 [P16084/D3/T16] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter
 2017-04-17 15:13:30,681 [P16084/D3/T16] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter, found 0 (took 1ms)
 2017-04-17 15:13:30,681 [P16084/D3/T16] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.PropertyEditors.IPropertyValueConverter
 2017-04-17 15:13:30,683 [P16084/D3/T16] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.PropertyEditors.IPropertyValueConverter, found 0 (took 2ms)
 2017-04-17 15:13:30,700 [P16084/D3/T16] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Web.Mvc.SurfaceController
 2017-04-17 15:13:30,708 [P16084/D3/T16] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Web.Mvc.SurfaceController, found 0 (took 8ms)
 2017-04-17 15:13:30,709 [P16084/D3/T16] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Web.WebApi.UmbracoApiController
 2017-04-17 15:13:30,717 [P16084/D3/T16] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Web.WebApi.UmbracoApiController, found 0 (took 7ms)
 2017-04-17 15:13:30,786 [P16084/D3/T16] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.Media.IThumbnailProvider
 2017-04-17 15:13:30,787 [P16084/D3/T16] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.Media.IThumbnailProvider, found 0 (took 1ms)
 2017-04-17 15:13:30,789 [P16084/D3/T16] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.Media.IImageUrlProvider
 2017-04-17 15:13:30,790 [P16084/D3/T16] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.Media.IImageUrlProvider, found 0 (took 1ms)
 2017-04-17 15:13:32,068 [P16084/D3/T16] INFO  Umbraco.Core.DatabaseContext - CanConnect = True
 2017-04-17 15:13:32,332 [P16084/D3/T16] INFO  Umbraco.Web.Cache.CacheRefresherEventHandler - Initializing Umbraco internal event handlers for cache refreshing
 2017-04-17 15:13:32,390 [P16084/D3/T16] INFO  Umbraco.Web.Search.ExamineEvents - Initializing Examine and binding to business logic events
 2017-04-17 15:13:32,525 [P16084/D3/T16] INFO  Umbraco.Web.Search.ExamineEvents - Adding examine event handlers for index providers: 3
 2017-04-17 15:13:32,557 [P16084/D3/T16] INFO  Umbraco.Core.CoreBootManager - Umbraco application startup complete (took 2206ms)
 2017-04-17 15:13:33,260 [P16084/D3/T14] INFO  Umbraco.Core.Sync.ApplicationUrlHelper - ApplicationUrl: http://localhost:52266/umbraco (UmbracoModule request)
 2017-04-17 15:13:34,988 [P16084/D3/T11] INFO  umbraco.content - Load Xml from file...
 2017-04-17 15:13:34,990 [P16084/D3/T11] INFO  umbraco.content - Loaded Xml from file.
 2017-04-17 15:13:35,199 [P16084/D3/T11] WARN  Umbraco.Web.UmbracoModule - Status code is 404 yet TrySkipIisCustomErrors is false - IIS will take over.
 2017-04-17 15:13:40,158 [P16084/D2/T20] INFO  Umbraco.Core.UmbracoApplicationBase - Application shutdown. Details: UnloadAppDomainCalled

_shutDownMessage=User code called UnloadAppDomain
HostingEnvironment initiated shutdown
HostingEnvironment caused shutdown

_shutDownStack=   at System.Environment.GetStackTrace(Exception e, Boolean needFileInfo)
   at System.Environment.get_StackTrace()
   at System.Web.Hosting.HostingEnvironment.InitiateShutdownInternal()
   at System.Web.Hosting.HostingEnvironment.InitiateShutdownWithoutDemand()
   at System.Web.HttpRuntime.ShutdownAppDomain(String stackTrace)
   at System.Web.HttpRuntime.UnloadAppDomain()
   at Umbraco.Core.Manifest.ManifestWatcher.FswChanged(Object sender, FileSystemEventArgs e)
   at System.IO.FileSystemWatcher.OnChanged(FileSystemEventArgs e)
   at System.IO.FileSystemWatcher.NotifyFileSystemEventArgs(Int32 action, String name)
   at System.IO.FileSystemWatcher.CompletionStatusChanged(UInt32 errorCode, UInt32 numBytes, NativeOverlapped* overlappedPointer)
   at System.Threading._IOCompletionCallback.PerformIOCompletionCallback(UInt32 errorCode, UInt32 numBytes, NativeOverlapped* pOVERLAP)
 2017-04-17 15:13:44,914 [P16084/D3/T20] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.PropertyEditors.IParameterEditor
 2017-04-17 15:13:44,916 [P16084/D3/T20] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.PropertyEditors.IParameterEditor, found 0 (took 2ms)
 2017-04-17 15:13:45,276 [P16084/D3/T20] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.Persistence.Mappers.BaseMapper
 2017-04-17 15:13:45,279 [P16084/D3/T20] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.Persistence.Mappers.BaseMapper, found 0 (took 2ms)
 2017-04-17 15:13:58,065 [P16084/D3/T20] WARN  Umbraco.Web.UmbracoModule - Status code is 404 yet TrySkipIisCustomErrors is false - IIS will take over.
 2017-04-17 15:14:35,040 [P16084/D3/T7] INFO  umbraco.BusinessLogic.Log - Log scrubbed.  Removed all items older than 2560-04-16 15:14:35
 2017-04-17 15:16:18,548 [P16084/D3/T29] INFO  Umbraco.Core.Security.BackOfficeSignInManager - Event Id: 0, state: Login attempt succeeded for username admin@mail.com from IP address ::1
 2017-04-17 15:16:18,551 [P16084/D3/T29] INFO  Umbraco.Core.Security.BackOfficeSignInManager - Event Id: 0, state: User: admin@mail.com logged in from IP address ::1
 2017-04-17 15:16:18,740 [P16084/D3/T29] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Web.Trees.TreeController
 2017-04-17 15:16:18,742 [P16084/D3/T29] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Web.Trees.TreeController, found 0 (took 2ms)
 2017-04-17 15:16:18,833 [P16084/D3/T31] INFO  Umbraco.Core.PluginManager - Starting resolution types of umbraco.interfaces.IApplication
 2017-04-17 15:16:18,847 [P16084/D3/T31] INFO  Umbraco.Core.PluginManager - Completed resolution of types of umbraco.interfaces.IApplication, found 0 (took 13ms)
 2017-04-17 15:16:19,020 [P16084/D3/T23] INFO  Umbraco.Core.PluginManager - Starting resolution types of umbraco.interfaces.ITree
 2017-04-17 15:16:19,041 [P16084/D3/T23] INFO  Umbraco.Core.PluginManager - Completed resolution of types of umbraco.interfaces.ITree, found 0 (took 21ms)
 2017-04-17 15:16:19,075 [P16084/D3/T23] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Web.Trees.TreeController
 2017-04-17 15:16:19,075 [P16084/D3/T23] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Web.Trees.TreeController, found 0 (took 0ms)
 2017-04-17 15:16:19,083 [P16084/D3/T23] INFO  Umbraco.Core.PluginManager - Starting resolution types of umbraco.interfaces.ITree
 2017-04-17 15:16:19,084 [P16084/D3/T23] INFO  Umbraco.Core.PluginManager - Completed resolution of types of umbraco.interfaces.ITree, found 0 (took 1ms)
 2017-04-17 15:19:06,366 [P16084/D3/T11] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Web.Editors.IEditorValidator
 2017-04-17 15:19:06,380 [P16084/D3/T11] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Web.Editors.IEditorValidator, found 0 (took 13ms)
 2017-04-17 15:19:06,591 [P16084/D3/T11] INFO  Umbraco.Core.PluginManager - Starting resolution types of umbraco.interfaces.ICacheRefresher
 2017-04-17 15:19:06,592 [P16084/D3/T11] INFO  Umbraco.Core.PluginManager - Completed resolution of types of umbraco.interfaces.ICacheRefresher, found 0 (took 2ms)
 2017-04-17 15:21:05,295 [P16084/D3/T5] WARN  Umbraco.Web.Models.Mapping.PreValueDisplayResolver - Could not find persisted pre-value for field multiPicker
 2017-04-17 15:21:05,295 [P16084/D3/T5] WARN  Umbraco.Web.Models.Mapping.PreValueDisplayResolver - Could not find persisted pre-value for field onlyImages
 2017-04-17 15:21:05,295 [P16084/D3/T5] WARN  Umbraco.Web.Models.Mapping.PreValueDisplayResolver - Could not find persisted pre-value for field disableFolderSelect
 2017-04-17 15:21:05,295 [P16084/D3/T5] WARN  Umbraco.Web.Models.Mapping.PreValueDisplayResolver - Could not find persisted pre-value for field startNodeId
 2017-04-17 15:21:51,057 [P16084/D3/T5] WARN  Umbraco.Web.Models.Mapping.PreValueDisplayResolver - Could not find persisted pre-value for field default
 2017-04-17 15:23:55,157 [P16084/D3/T11] WARN  Umbraco.Web.Models.Mapping.PreValueDisplayResolver - Could not find persisted pre-value for field multiPicker
 2017-04-17 15:23:55,157 [P16084/D3/T11] WARN  Umbraco.Web.Models.Mapping.PreValueDisplayResolver - Could not find persisted pre-value for field onlyImages
 2017-04-17 15:23:55,157 [P16084/D3/T11] WARN  Umbraco.Web.Models.Mapping.PreValueDisplayResolver - Could not find persisted pre-value for field disableFolderSelect
 2017-04-17 15:23:55,157 [P16084/D3/T11] WARN  Umbraco.Web.Models.Mapping.PreValueDisplayResolver - Could not find persisted pre-value for field startNodeId
 2017-04-17 15:26:11,610 [P16084/D3/T26] WARN  Umbraco.Web.Models.Mapping.PreValueDisplayResolver - Could not find persisted pre-value for field multiPicker
 2017-04-17 15:26:11,611 [P16084/D3/T26] WARN  Umbraco.Web.Models.Mapping.PreValueDisplayResolver - Could not find persisted pre-value for field onlyImages
 2017-04-17 15:26:11,611 [P16084/D3/T26] WARN  Umbraco.Web.Models.Mapping.PreValueDisplayResolver - Could not find persisted pre-value for field disableFolderSelect
 2017-04-17 15:26:11,611 [P16084/D3/T26] WARN  Umbraco.Web.Models.Mapping.PreValueDisplayResolver - Could not find persisted pre-value for field startNodeId
 2017-04-17 15:26:23,528 [P16084/D3/T30] WARN  Umbraco.Web.Models.Mapping.PreValueDisplayResolver - Could not find persisted pre-value for field multiPicker
 2017-04-17 15:26:23,528 [P16084/D3/T30] WARN  Umbraco.Web.Models.Mapping.PreValueDisplayResolver - Could not find persisted pre-value for field onlyImages
 2017-04-17 15:26:23,528 [P16084/D3/T30] WARN  Umbraco.Web.Models.Mapping.PreValueDisplayResolver - Could not find persisted pre-value for field disableFolderSelect
 2017-04-17 15:26:23,528 [P16084/D3/T30] WARN  Umbraco.Web.Models.Mapping.PreValueDisplayResolver - Could not find persisted pre-value for field startNodeId
 2017-04-17 15:26:40,626 [P16084/D3/T31] WARN  Umbraco.Web.Models.Mapping.PreValueDisplayResolver - Could not find persisted pre-value for field multiPicker
 2017-04-17 15:26:40,626 [P16084/D3/T31] WARN  Umbraco.Web.Models.Mapping.PreValueDisplayResolver - Could not find persisted pre-value for field onlyImages
 2017-04-17 15:26:40,626 [P16084/D3/T31] WARN  Umbraco.Web.Models.Mapping.PreValueDisplayResolver - Could not find persisted pre-value for field disableFolderSelect
 2017-04-17 15:26:40,626 [P16084/D3/T31] WARN  Umbraco.Web.Models.Mapping.PreValueDisplayResolver - Could not find persisted pre-value for field startNodeId
 2017-04-17 15:27:37,293 [P16084/D3/T30] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Web.Trees.TreeController
 2017-04-17 15:27:37,293 [P16084/D3/T30] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Web.Trees.TreeController, found 0 (took 0ms)
 2017-04-17 15:29:43,631 [P16084/D3/T30] INFO  Umbraco.Core.Publishing.PublishingStrategy - Content 'New iPhone 6 Released' with Id '0' has been published.
 2017-04-17 15:29:47,812 [P16084/D3/T13] INFO  umbraco.content - Save Xml to file...
 2017-04-17 15:29:47,816 [P16084/D3/T13] INFO  umbraco.content - Saved Xml to file.
 2017-04-17 15:30:59,067 [P16084/D3/T8] INFO  Umbraco.Core.Publishing.PublishingStrategy - Content 'Beans' with Id '0' has been published.
 2017-04-17 15:31:03,126 [P16084/D3/T8] INFO  umbraco.content - Save Xml to file...
 2017-04-17 15:31:03,130 [P16084/D3/T8] INFO  umbraco.content - Saved Xml to file.
 2017-04-17 15:32:14,373 [P16084/D3/T11] INFO  Umbraco.Core.Publishing.PublishingStrategy - Content 'Bookmarksgrove right' with Id '0' has been published.
 2017-04-17 15:32:18,436 [P16084/D3/T11] INFO  umbraco.content - Save Xml to file...
 2017-04-17 15:32:18,439 [P16084/D3/T11] INFO  umbraco.content - Saved Xml to file.
 2017-04-17 15:33:53,653 [P16084/D3/T26] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Web.Trees.TreeController
 2017-04-17 15:33:53,654 [P16084/D3/T26] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Web.Trees.TreeController, found 0 (took 0ms)
 2017-04-17 15:34:40,190 [P16084/D3/T21] INFO  Umbraco.Core.Publishing.PublishingStrategy - Content 'Bookmarksgrove right' with Id '8069' has been unpublished.
 2017-04-17 15:34:44,309 [P16084/D3/T11] INFO  umbraco.content - Save Xml to file...
 2017-04-17 15:34:44,311 [P16084/D3/T11] INFO  umbraco.content - Saved Xml to file.
 2017-04-17 15:34:53,381 [P16084/D3/T20] INFO  Umbraco.Core.Publishing.PublishingStrategy - Content 'Blog' with Id '3048' has been published.
 2017-04-17 15:34:57,498 [P16084/D3/T11] INFO  umbraco.content - Save Xml to file...
 2017-04-17 15:34:57,501 [P16084/D3/T11] INFO  umbraco.content - Saved Xml to file.
 2017-04-17 15:35:27,240 [P16084/D3/T20] INFO  Umbraco.Core.Publishing.PublishingStrategy - Content 'Blog' with Id '3048' has been published.
 2017-04-17 15:35:31,278 [P16084/D3/T30] INFO  umbraco.content - Save Xml to file...
 2017-04-17 15:35:31,281 [P16084/D3/T30] INFO  umbraco.content - Saved Xml to file.
 2017-04-17 15:35:39,209 [P16084/D3/T35] INFO  Umbraco.Core.Publishing.PublishingStrategy - Content 'New iPhone 6 Released (1)' with Id '8070' has been published.
 2017-04-17 15:35:39,410 [P16084/D3/T35] INFO  Umbraco.Core.Publishing.PublishingStrategy - Content 'Beans (1)' with Id '8071' has been published.
 2017-04-17 15:35:39,479 [P16084/D3/T27] INFO  Umbraco.Core.Publishing.PublishingStrategy - Content 'New iPhone 6 Released (2)' with Id '8072' has been published.
 2017-04-17 15:35:39,548 [P16084/D3/T21] INFO  Umbraco.Core.Publishing.PublishingStrategy - Content 'Beans (2)' with Id '8073' has been published.
 2017-04-17 15:35:43,576 [P16084/D3/T29] INFO  umbraco.content - Save Xml to file...
 2017-04-17 15:35:43,579 [P16084/D3/T29] INFO  umbraco.content - Saved Xml to file.
 2017-04-17 15:36:19,281 [P16084/D3/T20] WARN  Umbraco.Web.UmbracoModule - Status code is 404 yet TrySkipIisCustomErrors is false - IIS will take over.
 2017-04-17 15:36:39,215 [P16084/D3/T30] WARN  Umbraco.Web.Models.Mapping.PreValueDisplayResolver - Could not find persisted pre-value for field multiPicker
 2017-04-17 15:36:39,215 [P16084/D3/T30] WARN  Umbraco.Web.Models.Mapping.PreValueDisplayResolver - Could not find persisted pre-value for field onlyImages
 2017-04-17 15:36:39,215 [P16084/D3/T30] WARN  Umbraco.Web.Models.Mapping.PreValueDisplayResolver - Could not find persisted pre-value for field disableFolderSelect
 2017-04-17 15:36:39,215 [P16084/D3/T30] WARN  Umbraco.Web.Models.Mapping.PreValueDisplayResolver - Could not find persisted pre-value for field startNodeId
 2017-04-17 15:37:22,224 [P16084/D3/T31] WARN  Umbraco.Web.Models.Mapping.PreValueDisplayResolver - Could not find persisted pre-value for field multiPicker
 2017-04-17 15:37:22,224 [P16084/D3/T31] WARN  Umbraco.Web.Models.Mapping.PreValueDisplayResolver - Could not find persisted pre-value for field onlyImages
 2017-04-17 15:37:22,224 [P16084/D3/T31] WARN  Umbraco.Web.Models.Mapping.PreValueDisplayResolver - Could not find persisted pre-value for field disableFolderSelect
 2017-04-17 15:37:22,224 [P16084/D3/T31] WARN  Umbraco.Web.Models.Mapping.PreValueDisplayResolver - Could not find persisted pre-value for field startNodeId
 2017-04-17 15:37:58,652 [P16084/D3/T8] INFO  Umbraco.Core.Publishing.PublishingStrategy - Content 'New iPhone 6 Released' with Id '8065' has been published.
 2017-04-17 15:38:02,733 [P16084/D3/T21] INFO  umbraco.content - Save Xml to file...
 2017-04-17 15:38:02,735 [P16084/D3/T21] INFO  umbraco.content - Saved Xml to file.
 2017-04-17 15:38:10,936 [P16084/D3/T5] INFO  Umbraco.Core.Publishing.PublishingStrategy - Content 'New iPhone 6 Released' with Id '8065' has been published.
 2017-04-17 15:38:15,076 [P16084/D3/T31] INFO  umbraco.content - Save Xml to file...
 2017-04-17 15:38:15,079 [P16084/D3/T31] INFO  umbraco.content - Saved Xml to file.
 2017-04-17 15:38:31,057 [P16084/D3/T29] INFO  Umbraco.Core.Publishing.PublishingStrategy - Content 'Beans' with Id '8067' has been published.
 2017-04-17 15:38:35,122 [P16084/D3/T28] INFO  umbraco.content - Save Xml to file...
 2017-04-17 15:38:35,125 [P16084/D3/T28] INFO  umbraco.content - Saved Xml to file.
 2017-04-17 15:38:40,507 [P16084/D3/T31] INFO  Umbraco.Core.Publishing.PublishingStrategy - Content 'New iPhone 6 Released (1)' with Id '8070' has been published.
 2017-04-17 15:38:44,589 [P16084/D3/T11] INFO  umbraco.content - Save Xml to file...
 2017-04-17 15:38:44,593 [P16084/D3/T11] INFO  umbraco.content - Saved Xml to file.
 2017-04-17 15:38:50,984 [P16084/D3/T35] INFO  Umbraco.Core.Publishing.PublishingStrategy - Content 'Beans (1)' with Id '8071' has been published.
 2017-04-17 15:38:55,061 [P16084/D3/T27] INFO  umbraco.content - Save Xml to file...
 2017-04-17 15:38:55,064 [P16084/D3/T27] INFO  umbraco.content - Saved Xml to file.
 2017-04-17 15:39:01,310 [P16084/D3/T31] INFO  Umbraco.Core.Publishing.PublishingStrategy - Content 'New iPhone 6 Released (2)' with Id '8072' has been published.
 2017-04-17 15:39:05,391 [P16084/D3/T28] INFO  umbraco.content - Save Xml to file...
 2017-04-17 15:39:05,396 [P16084/D3/T28] INFO  umbraco.content - Saved Xml to file.
 2017-04-17 15:39:12,593 [P16084/D3/T27] INFO  Umbraco.Core.Publishing.PublishingStrategy - Content 'Beans (2)' with Id '8073' has been published.
 2017-04-17 15:39:16,662 [P16084/D3/T31] INFO  umbraco.content - Save Xml to file...
 2017-04-17 15:39:16,666 [P16084/D3/T31] INFO  umbraco.content - Saved Xml to file.
 2017-04-17 15:42:18,470 [P16084/D3/T8] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [ScheduledPublishing] Terminating
 2017-04-17 15:42:18,470 [P16084/D3/T8] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [ScheduledPublishing] Waiting for tasks to complete
 2017-04-17 15:42:18,473 [P16084/D3/T27] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [ScheduledPublishing] Tasks completed, terminated
